#lambda[A]	Flux[microJy]
4.102e+03	3.082e-04
4.102e+03	3.020e-04
4.102e+03	2.928e-04
4.102e+03	2.811e-04
4.102e+03	2.672e-04
4.102e+03	2.513e-04
4.102e+03	2.340e-04
4.102e+03	2.156e-04
4.102e+03	1.967e-04
4.103e+03	1.776e-04
4.103e+03	1.588e-04
4.103e+03	1.405e-04
4.103e+03	1.230e-04
4.103e+03	1.067e-04
4.103e+03	9.152e-05
4.103e+03	7.773e-05
4.103e+03	6.535e-05
4.103e+03	5.439e-05
4.103e+03	4.480e-05
4.103e+03	3.653e-05
4.103e+03	2.949e-05
4.103e+03	2.356e-05
4.103e+03	1.863e-05
4.103e+03	1.458e-05
4.103e+03	1.130e-05
4.103e+03	8.668e-06
4.103e+03	6.581e-06
4.103e+03	4.945e-06
4.103e+03	3.679e-06
4.103e+03	2.709e-06
4.103e+03	1.974e-06
4.103e+03	1.424e-06
4.103e+03	1.017e-06
4.104e+03	7.190e-07
4.104e+03	5.031e-07
4.104e+03	3.484e-07
4.104e+03	2.389e-07
4.104e+03	1.621e-07
4.104e+03	1.089e-07
4.104e+03	7.240e-08
4.104e+03	4.765e-08
4.104e+03	3.104e-08
4.104e+03	2.002e-08
4.104e+03	1.278e-08
4.104e+03	8.073e-09
4.104e+03	5.049e-09
4.104e+03	3.126e-09
4.104e+03	1.915e-09
4.104e+03	1.162e-09
4.339e+03	2.115e-09
4.339e+03	3.486e-09
4.339e+03	5.689e-09
4.339e+03	9.190e-09
4.339e+03	1.469e-08
4.339e+03	2.326e-08
4.339e+03	3.644e-08
4.339e+03	5.650e-08
4.339e+03	8.673e-08
4.339e+03	1.318e-07
4.339e+03	1.982e-07
4.339e+03	2.951e-07
4.339e+03	4.348e-07
4.339e+03	6.342e-07
4.339e+03	9.157e-07
4.339e+03	1.309e-06
4.339e+03	1.851e-06
4.339e+03	2.593e-06
4.339e+03	3.594e-06
4.340e+03	4.931e-06
4.340e+03	6.696e-06
4.340e+03	9.002e-06
4.340e+03	1.198e-05
4.340e+03	1.578e-05
4.340e+03	2.057e-05
4.340e+03	2.655e-05
4.340e+03	3.391e-05
4.340e+03	4.288e-05
4.340e+03	5.368e-05
4.340e+03	6.650e-05
4.340e+03	8.156e-05
4.340e+03	9.900e-05
4.340e+03	1.190e-04
4.340e+03	1.415e-04
4.340e+03	1.666e-04
4.340e+03	1.941e-04
4.340e+03	2.239e-04
4.340e+03	2.557e-04
4.340e+03	2.890e-04
4.340e+03	3.233e-04
4.340e+03	3.581e-04
4.340e+03	3.925e-04
4.341e+03	4.259e-04
4.341e+03	4.574e-04
4.341e+03	4.863e-04
4.341e+03	5.118e-04
4.341e+03	5.331e-04
4.341e+03	5.496e-04
4.341e+03	5.610e-04
4.341e+03	5.667e-04
4.341e+03	5.667e-04
4.341e+03	5.610e-04
4.341e+03	5.496e-04
4.341e+03	5.331e-04
4.341e+03	5.118e-04
4.341e+03	4.863e-04
4.341e+03	4.574e-04
4.341e+03	4.259e-04
4.341e+03	3.925e-04
4.341e+03	3.581e-04
4.341e+03	3.233e-04
4.341e+03	2.890e-04
4.341e+03	2.557e-04
4.341e+03	2.239e-04
4.341e+03	1.941e-04
4.342e+03	1.666e-04
4.342e+03	1.415e-04
4.342e+03	1.190e-04
4.342e+03	9.900e-05
4.342e+03	8.156e-05
4.342e+03	6.650e-05
4.342e+03	5.368e-05
4.342e+03	4.288e-05
4.342e+03	3.391e-05
4.342e+03	2.655e-05
4.342e+03	2.057e-05
4.342e+03	1.578e-05
4.342e+03	1.198e-05
4.342e+03	9.002e-06
4.342e+03	6.696e-06
4.342e+03	4.931e-06
4.342e+03	3.594e-06
4.342e+03	2.593e-06
4.342e+03	1.851e-06
4.342e+03	1.309e-06
4.342e+03	9.157e-07
4.342e+03	6.342e-07
4.342e+03	4.348e-07
4.343e+03	2.951e-07
4.343e+03	1.982e-07
4.343e+03	1.318e-07
4.343e+03	8.673e-08
4.343e+03	5.650e-08
4.343e+03	3.644e-08
4.343e+03	2.326e-08
4.343e+03	1.469e-08
4.343e+03	9.190e-09
4.343e+03	5.689e-09
4.343e+03	3.486e-09
4.343e+03	2.115e-09
4.859e+03	4.538e-09
4.859e+03	7.481e-09
4.859e+03	1.221e-08
4.859e+03	1.972e-08
4.860e+03	3.153e-08
4.860e+03	4.991e-08
4.860e+03	7.819e-08
4.860e+03	1.213e-07
4.860e+03	1.861e-07
4.860e+03	2.828e-07
4.860e+03	4.253e-07
4.860e+03	6.332e-07
4.860e+03	9.331e-07
4.860e+03	1.361e-06
4.860e+03	1.965e-06
4.860e+03	2.808e-06
4.860e+03	3.973e-06
4.860e+03	5.564e-06
4.860e+03	7.712e-06
4.860e+03	1.058e-05
4.860e+03	1.437e-05
4.860e+03	1.932e-05
4.860e+03	2.571e-05
4.860e+03	3.386e-05
4.860e+03	4.414e-05
4.861e+03	5.697e-05
4.861e+03	7.278e-05
4.861e+03	9.203e-05
4.861e+03	1.152e-04
4.861e+03	1.427e-04
4.861e+03	1.750e-04
4.861e+03	2.125e-04
4.861e+03	2.553e-04
4.861e+03	3.036e-04
4.861e+03	3.575e-04
4.861e+03	4.166e-04
4.861e+03	4.806e-04
4.861e+03	5.487e-04
4.861e+03	6.202e-04
4.861e+03	6.939e-04
4.861e+03	7.684e-04
4.861e+03	8.423e-04
4.861e+03	9.139e-04
4.861e+03	9.816e-04
4.861e+03	1.044e-03
4.862e+03	1.098e-03
4.862e+03	1.144e-03
4.862e+03	1.179e-03
4.862e+03	1.204e-03
4.862e+03	1.216e-03
4.862e+03	1.216e-03
4.862e+03	1.204e-03
4.862e+03	1.179e-03
4.862e+03	1.144e-03
4.862e+03	1.098e-03
4.862e+03	1.044e-03
4.862e+03	9.816e-04
4.862e+03	9.139e-04
4.862e+03	8.423e-04
4.862e+03	7.684e-04
4.862e+03	6.939e-04
4.862e+03	6.202e-04
4.862e+03	5.487e-04
4.862e+03	4.806e-04
4.862e+03	4.166e-04
4.863e+03	3.575e-04
4.863e+03	3.036e-04
4.863e+03	2.553e-04
4.863e+03	2.125e-04
4.863e+03	1.750e-04
4.863e+03	1.427e-04
4.863e+03	1.152e-04
4.863e+03	9.203e-05
4.863e+03	7.278e-05
4.863e+03	5.697e-05
4.863e+03	4.414e-05
